상가업소번호	상호명	지점명	상권업종대분류코드	상권업종대분류명	상권업종중분류코드	상권업종중분류명	상권업종소분류코드	상권업종소분류명	표준산업분류코드	표준산업분류명	시도코드	시도명	시군구코드	시군구명	행정동코드	행정동명	법정동코드	법정동명	지번코드	대지구분코드	대지구분명	지번본번지	지번부번지	지번주소	도로명코드	도로명	건물본번지	건물부번지	건물관리번호	건물명	도로명주소	구우편번호	신우편번호	동정보	층정보	호정보	경도	위도
25435527	이디야커피	신길역점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11560	영등포구	1156063000	신길1동	1156013200	신길동	1156013200100590000	1	대지	59	2	서울특별시 영등포구 신길동 59-2	115603118022	서울특별시 영등포구 영등포로	353		1156013200100590000000000	엔씨티오피스텔	서울특별시 영등포구 영등포로 353	150050	7318		1		126.9180619301	37.5151175359
20015522	이디야커피	라이프점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11560	영등포구	1156054000	여의동	1156011000	여의도동	1156011000100610000	1	대지	61	3	서울특별시 영등포구 여의도동 61-3	115603118001	서울특별시 영등포구 63로	40		1156011000100610000000000	라이프오피스텔	서울특별시 영등포구 63로 40	150731	7345		1		126.9391975153	37.5195441715
20731751	이디야커피	시흥점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11545	금천구	1154568000	시흥2동	1154510300	시흥동	1154510300110110000	1	대지	1011		서울특별시 금천구 시흥동 1011	115453000024	서울특별시 금천구 금하로	750		1154510300110110000000000	관악우방아파트	서울특별시 금천구 금하로 750	153784	8645	1			126.9136456167	37.4490661392
20742476	이디야커피	개봉중앙점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11530	구로구	1153076000	개봉3동	1153010700	개봉동	1153010700103580000	1	대지	358	20	서울특별시 구로구 개봉동 358-20	115304148055	서울특별시 구로구 개봉로3길	26		1153010700103580000000000		서울특별시 구로구 개봉로3길 26	152090	8352		1		126.8548716102	37.4864363082
23412756	이디야커피	해군회관점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11590	동작구	1159066000	대방동	1159010800	대방동	1159010800103850000	1	대지	385	24	서울특별시 동작구 대방동 385-24	115903118028	서울특별시 동작구 여의대방로	194		1159010800103850000000000		서울특별시 동작구 여의대방로 194	156810	6945		1		126.9222451417	37.504253129
20441439	이디야커피	등촌역점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11500	강서구	1150053000	등촌2동	1150010200	등촌동	1150010200105090000	1	대지	509	1	서울특별시 강서구 등촌동 509-1	115003005064	서울특별시 강서구 등촌로	217		1150010200105090000000000	희망찬교회	서울특별시 강서구 등촌로 217	157030	7667		1		126.8632940739	37.5491759558
16099219	이디야커피	도림사거리	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11560	영등포구	1156065000	신길3동	1156013200	신길동	1156013200103630000	1	대지	363	4	서울특별시 영등포구 신길동 363-4	115603116010	서울특별시 영등포구 도림로	326		1156013200103630000000000		서울특별시 영등포구 도림로 326	150849	7382		2		126.9018076365	37.5065788015
25366000	이디야커피	은행나무사거리점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11545	금천구	1154571000	시흥5동	1154510300	시흥동	1154510300109080000	1	대지	908	7	서울특별시 금천구 시흥동 908-7	115453000024	서울특별시 금천구 금하로	690		1154510300109080000000000		서울특별시 금천구 금하로 690	153030	8642		1		126.9066213959	37.4517946273
20283637	이디야커피	둔촌점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11740	강동구	1174066000	성내3동	1174010800	성내동	1174010800104150000	1	대지	415	8	서울특별시 강동구 성내동 415-8	117402000006	서울특별시 강동구 양재대로	1377		1174010800104150000000000		서울특별시 강동구 양재대로 1377	134030	5376		1		127.1362414665	37.5291600036
16172726	이디야커피	약수역점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11140	중구	1114063500	약수동	1114016200	신당동	1114016200103730000	1	대지	373	70	서울특별시 중구 신당동 373-70	111404103078	서울특별시 중구 동호로10길	11		1114016200103730000000000		서울특별시 중구 동호로10길 11	100840	4590				127.011610592	37.5545473597
