연번,시도,시군구,읍면동,우편번호,주    소,
1,서울,종로구,청운효자동주민센터,3047,서울특별시 종로구 자하문로 92 ,
2,서울,종로구,사직동주민센터,3176,서울특별시 종로구 경희궁1길 15,
3,서울,종로구,삼청동주민센터,3049,서울특별시 종로구 삼청로 107 ,
4,서울,종로구,부암동주민센터,3022,서울특별시 종로구 창의문로 145 ,
5,서울,종로구,평창동주민센터,3009,서울특별시 종로구 평창문화로 65 ,
6,서울,종로구,무악동주민센터,3030,서울특별시 종로구 통일로14길 36 ,
7,서울,종로구,교남동주민센터,3166,서울특별시 종로구 송월길 154 ,
8,서울,종로구,가회동주민센터,3055,서울특별시 종로구 북촌로 35 ,
9,서울,종로구,종로1234가동주민센터,3140,서울특별시 종로구 종로17길 8 ,
10,서울,종로구,종로56가동주민센터,3126,서울특별시 종로구 종로35가길 19 ,
11,서울,종로구,이화동주민센터,3087,서울특별시 종로구 이화장길 33 ,
12,서울,종로구,혜화동주민센터,3076,서울특별시 종로구 혜화로 12 ,
13,서울,종로구,창신1동주민센터,3118,서울특별시 종로구 지봉로 8-6 ,
14,서울,종로구,창신2동주민센터,3102,서울특별시 종로구 창신길 62 ,
15,서울,종로구,창신3동주민센터,3095,서울특별시 종로구 지봉로 87 ,
16,서울,종로구,숭인1동주민센터,3108,서울특별시 종로구 지봉로 86 ,
17,서울,종로구,숭인2동주민센터,3112,서울특별시 종로구 종로65길 10 ,
18,서울,중  구,소공동주민센터,4526,서울특별시 중구 남대문로1길 31-5,
19,서울,중  구,회현동주민센터,4635,서울특별시 중구 퇴계로8길 46,
20,서울,중  구,명동주민센터(임시청사),4630,서울특별시 중구 퇴계로20나길 16,
21,서울,중  구,필동주민센터,4626,서울특별시 중구 퇴계로36길 42,
22,서울,중  구,장충동주민센터,4606,서울특별시 중구 장충단로8길 22,
23,서울,중  구,광희동주민센터,4560,서울특별시 중구 퇴계로 303-9,
24,서울,중  구,을지로동주민센터(임시청사),4543,서울특별시 중구 충무로9길 20,
25,서울,중  구,신당동주민센터,4610,서울특별시 중구 다산로33길 3,
26,서울,중  구,다산동주민센터,4604,서울특별시 중구 동호로15길 50,
27,서울,중  구,약수동주민센터,4597,서울특별시 중구 다산로 92,
28,서울,중  구,청구동주민센터,4591,서울특별시 중구 청구로3길 55,
29,서울,중  구,신당제5동주민센터,4578,서울특별시 중구 다산로44길 85,
30,서울,중  구,동화동주민센터,4587,서울특별시 중구 다산로36길 100,
31,서울,중  구,황학동주민센터,4575,서울특별시 중구 난계로11길 52,
32,서울,중  구,중림동주민센터,4500,서울특별시 중구 만리재로175,
33,서울,용산구,후암동주민센터,4331,서울특별시 용산구 후암로 32-6,
